"date","week","light","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers","number_fruits"
"2021-05-14",1,"SH60","1SH60",13,20,7,7,6,0,0
"2021-05-14",1,"SH60","2SH60",16,6,20,5,8,0,0
"2021-05-14",1,"SH60","3SH60",15,18,10,8,7,0,0
"2021-05-14",1,"SH60","4SH60",16,17,10,10,4,0,0
"2021-05-14",1,"HSH60","1HSH60",10,20,7,5,7,0,0
"2021-05-14",1,"HSH60","2HSH60",15,6,8,7,7,0,0
"2021-05-14",1,"HSH60","3HSH60",18,15,10,6,6,0,0
"2021-05-14",1,"HSH60","4HSH60",17,10,11,7,7,0,0
"2021-05-14",1,"SH30","1SH30",14,14,13,10,6,0,0
"2021-05-14",1,"SH30","2SH30",17,21,17,11,5,0,0
"2021-05-14",1,"SH30","3SH30",16,20,20,12,6,0,0
"2021-05-14",1,"SH30","4SH30",15,15,12,14,6,0,0
"2021-05-14",1,"FL","1FL",17,20,20,8,4,0,0
"2021-05-14",1,"FL","2FL",14,18,11,10,3,0,0
"2021-05-14",1,"FL","3FL",8,9,9,4,4,0,0
"2021-05-14",1,"FL","4FL",10,9,10,6,6,0,0
"2021-05-26",2,"SH60","1SH60",20,36,32,25,10,5,0
"2021-05-26",2,"SH60","2SH60",25,30,24,20,11,4,0
"2021-05-26",2,"SH60","3SH60",18,16,20,22,8,2,0
"2021-05-26",2,"SH60","4SH60",14,15,16,24,9,1,0
"2021-05-26",2,"HSH60","1HSH60",25,36,32,25,10,5,0
"2021-05-26",2,"HSH60","2HSH60",19,30,24,20,9,4,0
"2021-05-26",2,"HSH60","3HSH60",18,16,20,22,8,2,0
"2021-05-26",2,"HSH60","4HSH60",14,15,16,24,7,1,0
"2021-05-26",2,"SH30","1SH30",22,22,19,12,9,2,0
"2021-05-26",2,"SH30","2SH30",24,25,18,11,10,1,0
"2021-05-26",2,"SH30","3SH30",12,13,17,14,6,1,0
"2021-05-26",2,"SH30","4SH30",15,15,20,15,8,1,0
"2021-05-26",2,"FL","1FL",19,20,16,22,7,0,0
"2021-05-26",2,"FL","2FL",20,19,18,23,6,0,0
"2021-05-26",2,"FL","3FL",15,13,19,17,6,2,0
"2021-05-26",2,"FL","4FL",18,17,17,24,5,2,0
"2021-06-08",3,"SH60","1SH60",22,22,26,27,9,7,0
"2021-06-08",3,"SH60","2SH60",27,25,28,30,11,10,0
"2021-06-08",3,"SH60","3SH60",30,35,29,25,10,8,0
"2021-06-08",3,"SH60","4SH60",32,30,30,29,9,9,0
"2021-06-08",3,"HSH60","1HSH60",22,22,26,30,9,10,0
"2021-06-08",3,"HSH60","2HSH60",36,37,24,50,8,9,0
"2021-06-08",3,"HSH60","3HSH60",27,35,23,45,9,7,0
"2021-06-08",3,"HSH60","4HSH60",30,36,30,40,9,7,0
"2021-06-08",3,"SH30","1SH30",38,45,47,35,11,9,0
"2021-06-08",3,"SH30","2SH30",35,40,43,20,12,8,0
"2021-06-08",3,"SH30","3SH30",36,41,40,25,12,6,0
"2021-06-08",3,"SH30","4SH30",34,35,41,30,11,8,0
"2021-06-08",3,"FL","1FL",38,48,40,30,9,7,0
"2021-06-08",3,"FL","2FL",40,45,42,35,9,6,0
"2021-06-08",3,"FL","3FL",45,40,39,42,8,7,0
"2021-06-08",3,"FL","4FL",41,40,40,40,7,8,0
"2021-06-24",4,"SH60","1SH60",50,40,30,38,13,7,7
"2021-06-24",4,"SH60","2SH60",51,45,25,48,9,3,5
"2021-06-24",4,"SH60","3SH60",50,42,33,45,10,0,15
"2021-06-24",4,"SH60","4SH60",49,43,36,50,9,0,8
"2021-06-24",4,"HSH60","1HSH60",49,40,25,60,10,3,5
"2021-06-24",4,"HSH60","2HSH60",50,45,30,50,10,4,4
"2021-06-24",4,"HSH60","3HSH60",51,43,35,55,9,2,5
"2021-06-24",4,"HSH60","4HSH60",52,46,30,58,10,3,6
"2021-06-24",4,"SH30","1SH30",45,48,45,92,13,3,16
"2021-06-24",4,"SH30","2SH30",40,46,49,69,11,4,15
"2021-06-24",4,"SH30","3SH30",49,52,52,75,11,4,14
"2021-06-24",4,"SH30","4SH30",49,50,51,91,12,3,14
"2021-06-24",4,"FL","1FL",54,49,49,80,10,3,15
"2021-06-24",4,"FL","2FL",51,50,50,86,9,0,10
"2021-06-24",4,"FL","3FL",50,55,55,85,9,2,16
"2021-06-24",4,"FL","4FL",55,54,49,79,8,0,15
"2021-07-05",5,"SH60","1SH60",58,45,49,65,13,2,11
"2021-07-05",5,"SH60","2SH60",59,46,52,64,12,0,12
"2021-07-05",5,"SH60","3SH60",54,50,54,60,11,0,14
"2021-07-05",5,"SH60","4SH60",56,48,50,50,13,0,11
"2021-07-05",5,"HSH60","1HSH60",56,30,39,50,12,0,5
"2021-07-05",5,"HSH60","2HSH60",57,35,35,58,12,0,4
"2021-07-05",5,"HSH60","3HSH60",59,45,39,59,11,0,7
"2021-07-05",5,"HSH60","4HSH60",54,40,36,60,12,0,8
"2021-07-05",5,"SH30","1SH30",55,55,45,80,11,0,20
"2021-07-05",5,"SH30","2SH30",54,50,50,85,13,0,21
"2021-07-05",5,"SH30","3SH30",53,53,54,86,12,0,23
"2021-07-05",5,"SH30","4SH30",50,53,55,82,12,0,24
"2021-07-05",5,"FL","1FL",55,50,50,92,12,0,24
"2021-07-05",5,"FL","2FL",56,53,59,80,11,0,20
"2021-07-05",5,"FL","3FL",57,55,56,81,10,0,23
"2021-07-05",5,"FL","4FL",55,51,57,79,10,0,25
